overall_rank,player,role,innings,runs_scored,strike_rate,batting_avg,consistency_score,recent_sr,BPI,matches,wickets,economy,dot_pct,recent_economy,BoPI,PVS,auction_price,value_ratio,valuation
67,CH Morris,Allrounder,49.0,618.0,155.28,21.31,78.53,,63.32,81.0,96.0,7.68,41.02,,62.26,67.79,,,
68,PJ Cummins,Allrounder,48.0,612.0,152.24,18.55,83.44,152.29,62.22,73.0,80.0,8.46,38.21,8.95,62.69,67.45,,,
69,KP Pietersen,Batter,36.0,1001.0,134.72,35.75,126.26,,67.42,,,,,,,67.42,,,
70,MM Ali,Allrounder,59.0,1167.0,139.76,23.34,98.5,126.6,59.84,57.0,41.0,7.13,35.36,7.94,64.79,67.31,,,
71,AK Markram,Batter,63.0,1633.0,135.97,29.69,138.02,135.66,67.26,23.0,6.0,9.18,25.34,8.69,37.58,67.26,,,
72,AC Gilchrist,Batter,80.0,2069.0,138.39,27.22,104.94,,67.07,,,,,,,67.07,,,
73,DL Chahar,Bowler,,,,,,,,98.0,89.0,7.9,43.35,8.49,67.07,67.07,,,
74,GJ Maxwell,Allrounder,134.0,2820.0,155.12,24.1,89.99,161.29,68.89,85.0,41.0,8.11,32.97,8.16,55.23,67.06,,,
75,Q de Kock,Batter,118.0,3444.0,134.9,31.31,105.24,134.57,66.77,,,,,,,66.77,,,
76,DA Miller,Batter,140.0,3200.0,138.83,34.78,114.65,142.33,66.66,,,,,,,66.66,,,
77,N Rana,Batter,118.0,3022.0,137.68,27.72,109.58,145.77,66.62,27.0,10.0,8.83,30.56,,48.73,66.62,,,
78,AR Patel,Allrounder,129.0,1947.0,133.26,20.71,110.76,142.26,58.43,168.0,135.0,7.3,33.82,7.67,64.65,66.54,9.5,7.0,Overvalued ⚠️
79,Abdul Samad,Batter,56.0,815.0,146.85,18.11,121.68,156.53,66.22,,,,,,,66.22,,,
80,YK Pathan,Allrounder,153.0,3222.0,143.52,29.29,107.02,,64.57,82.0,42.0,7.18,36.53,,57.41,65.99,,,
81,NM Coulter-Nile,Bowler,,,,,,,,38.0,48.0,7.38,45.16,,65.98,65.98,,,
82,VR Iyer,Batter,57.0,1497.0,138.1,29.94,110.25,149.67,65.92,,,,,,,65.92,,,
83,SE Marsh,Batter,69.0,2489.0,133.03,38.29,124.32,,65.83,,,,,,,65.83,,,
84,SE Rutherford,Batter,26.0,500.0,145.77,22.73,108.51,157.3,65.71,,,,,,,65.71,,,
85,Harshit Rana,Bowler,,,,,,,,32.0,40.0,9.14,40.37,9.16,65.71,65.71,,,
86,RE van der Merwe,Bowler,,,,,,,,21.0,21.0,6.59,35.89,,65.53,65.53,,,
87,M Prasidh Krishna,Bowler,,,,,,,,73.0,87.0,8.49,41.66,8.08,65.34,65.34,,,
88,KH Pandya,Allrounder,117.0,1792.0,132.35,22.12,97.45,120.79,54.15,140.0,102.0,7.31,32.58,7.62,66.36,65.25,,,
89,MM Patel,Bowler,,,,,,,,63.0,74.0,7.29,45.17,,65.24,65.24,,,
90,Nithish Kumar Reddy,Batter,29.0,657.0,140.38,27.38,117.97,132.88,65.24,20.0,10.0,10.21,28.46,10.4,31.13,65.24,,,
91,MR Marsh,Allrounder,57.0,1504.0,141.49,27.85,99.39,157.53,65.06,34.0,37.0,8.16,33.75,9.09,55.21,65.14,,,
92,RG Sharma,Batter,270.0,7185.0,132.56,28.86,110.11,144.43,65.07,32.0,15.0,7.75,27.73,,51.79,65.07,16.0,4.07,Overvalued ⚠️
93,JP Duminy,Allrounder,75.0,2029.0,124.02,41.41,132.19,,63.54,49.0,23.0,7.1,35.69,,56.32,64.93,,,
94,WD Parnell,Bowler,,,,,,,,33.0,35.0,7.29,43.15,,64.82,64.82,,,
95,HH Pandya,Allrounder,146.0,2855.0,146.79,27.72,111.64,145.29,66.47,113.0,81.0,8.99,35.04,9.6,53.06,64.77,,,
96,JC Archer,Allrounder,34.0,275.0,143.23,13.75,87.45,,55.74,61.0,73.0,7.57,45.9,8.82,63.55,64.64,,,
97,A Symonds,Allrounder,36.0,974.0,129.87,37.46,118.21,,62.51,30.0,20.0,7.47,39.09,,56.36,64.44,,,
98,K Gowtham,Allrounder,27.0,247.0,166.89,13.72,106.97,,71.07,35.0,21.0,8.13,36.73,,47.74,64.41,,,
99,M Vohra,Batter,51.0,1083.0,130.64,22.56,108.67,,64.39,,,,,,,64.39,,,
100,N Wadhera,Batter,36.0,784.0,141.52,25.29,107.9,142.94,64.27,,,,,,,64.27,,,
101,JA Morkel,Allrounder,67.0,975.0,141.92,24.38,94.12,,59.69,87.0,85.0,7.82,39.64,,58.8,64.25,,,
102,A Nehra,Bowler,,,,,,,,88.0,106.0,7.56,43.4,,64.24,64.24,,,
103,M Morkel,Allrounder,20.0,126.0,140.0,11.45,92.56,,53.69,70.0,77.0,7.35,45.3,,64.67,64.18,,,
104,Harbhajan Singh,Allrounder,88.0,833.0,137.91,14.88,80.7,,54.43,160.0,150.0,6.89,38.41,,63.87,64.15,,,
105,LMP Simmons,Batter,29.0,1079.0,126.64,39.96,127.23,,63.93,,,,,,,63.93,,,
106,R Powell,Batter,28.0,486.0,143.36,20.25,102.2,140.24,63.79,,,,,,,63.79,,,
107,MEK Hussey,Batter,58.0,1977.0,122.64,38.02,116.91,,63.7,,,,,,,63.7,,,
108,PP Shaw,Batter,79.0,1892.0,147.47,24.57,103.05,147.57,63.7,,,,,,,63.7,,,
109,S Dhawan,Batter,221.0,6769.0,127.09,35.07,120.7,137.43,63.65,,,,,,,63.65,,,
110,R Tewatia,Allrounder,82.0,1161.0,136.11,22.76,111.62,152.65,63.44,52.0,32.0,7.74,32.03,,53.84,63.64,,,
111,SK Raina,Allrounder,200.0,5536.0,136.83,33.15,119.23,,65.6,69.0,25.0,7.24,32.93,,51.4,63.5,,,
112,Ravi Bishnoi,Bowler,,,,,,,,84.0,83.0,8.06,34.67,8.71,63.43,63.43,,,
113,GB Hogg,Bowler,,,,,,,,21.0,23.0,7.18,37.12,,63.28,63.28,,,
114,S Sreesanth,Bowler,,,,,,,,44.0,40.0,7.45,47.27,,63.25,63.25,,,
115,R Parag,Batter,81.0,1687.0,140.58,24.81,100.99,152.33,63.06,34.0,9.0,9.36,22.26,8.13,32.72,63.06,,,
116,A Badoni,Batter,54.0,1135.0,138.92,25.8,113.78,141.95,62.84,,,,,,,62.84,,,
117,MA Agarwal,Batter,125.0,2764.0,133.79,23.42,101.89,129.61,62.74,,,,,,,62.74,,,
118,A Ashish Reddy,Batter,23.0,280.0,145.08,18.67,137.15,,62.68,20.0,18.0,8.79,31.68,,50.21,62.68,,,
119,E Lewis,Batter,26.0,654.0,137.11,27.25,115.69,,62.59,,,,,,,62.59,,,
120,TU Deshpande,Bowler,,,,,,,,50.0,54.0,9.5,36.93,9.16,62.51,62.51,,,
121,CA Lynn,Batter,42.0,1329.0,140.63,34.08,124.95,,62.24,,,,,,,62.24,,,
122,A Singh,Bowler,,,,,,,,23.0,28.0,7.64,42.28,,62.15,62.15,,,
123,AM Rahane,Batter,191.0,5194.0,125.31,30.02,113.43,147.61,62.04,,,,,,,62.04,,,
124,BB McCullum,Batter,109.0,2882.0,131.6,27.19,98.71,,61.91,,,,,,,61.91,,,
125,RV Uthappa,Batter,197.0,4954.0,130.33,27.22,118.85,,61.83,,,,,,,61.83,,,
126,Iqbal Abdulla,Bowler,,,,,,,,48.0,40.0,7.06,37.61,,61.8,61.8,,,
127,Avesh Khan,Bowler,,,,,,,,80.0,93.0,8.87,36.37,9.58,61.78,61.78,,,
128,SPD Smith,Batter,93.0,2495.0,128.28,31.99,129.9,,61.74,,,,,,,61.74,,,
129,KA Pollard,Allrounder,168.0,3437.0,147.57,26.64,110.43,,66.56,107.0,69.0,8.37,28.36,,46.89,61.73,,,
